theta_attr_grid,f_vals,grad_f_vals,hessian_f_vals
-15.0,123910.1,-3352.7,-754.3
-14.5,122136.3,-3748.8,-831.0
-14.0,120154.6,-4184.4,-911.9
-13.5,117945.0,-4661.3,-996.1
-13.0,115486.2,-5180.9,-1082.3
-12.5,112756.9,-5743.7,-1168.8
-12.0,109735.4,-6349.3,-1253.1
-11.5,106400.8,-6995.9,-1332.2
-11.0,102733.3,-7679.9,-1402.2
-10.5,98715.5,-8395.8,-1458.4
-10.0,94333.6,-9135.0,-1495.0
-9.5,89578.5,-9886.4,-1505.4
-9.0,84447.7,-10634.8,-1482.0
-8.5,78947.3,-11361.4,-1416.8
-8.0,73093.7,-12043.1,-1300.9
-7.5,66916.2,-12652.4,-1125.8
-7.0,60458.6,-13157.7,-883.7
-6.5,53781.6,-13523.9,-568.2
-6.0,46964.3,-13713.0,-175.4
-5.5,40104.6,-13686.3,294.8
-5.0,33320.2,-13406.0,838.1
-4.5,26746.6,-12837.7,1444.6
-4.0,20535.2,-11953.5,2098.1
-3.5,14848.9,-10735.4,2776.2
-3.0,9856.5,-9177.9,3450.8
-2.5,5726.0,-7290.6,4089.6
-2.0,2616.5,-5100.0,4658.1
-1.5,669.3,-2649.9,5122.4
-1.0,0.0,0.0,5452.4
-0.5,690.5,2776.2,5624.6
0.0,2783.5,5595.9,5625.0
0.5,6279.1,8372.0,5450.6
1.0,11133.8,11018.7,5109.8
1.5,17263.0,13457.2,4621.7
2.0,24545.1,15620.4,4014.0
2.5,32828.9,17456.8,3320.3
3.0,41941.7,18932.4,2576.9
3.5,51698.4,20031.4,1819.7
4.0,61910.5,20755.3,1081.2
4.5,72393.8,21120.4,388.9
5.0,82975.8,21155.4,-236.3
5.5,93500.4,20897.6,-780.4
6.0,103831.8,20389.9,-1235.6
6.5,113856.1,19677.1,-1600.3
7.0,123482.2,18804.2,-1877.3
7.5,132640.7,17813.4,-2072.9
8.0,141282.4,16743.4,-2195.8
8.5,149376.5,15628.1,-2255.8
9.0,156907.8,14496.3,-2263.3
9.5,163874.1,13371.8,-2228.4
10.0,170284.0,12273.4,-2160.5
10.5,176154.2,11215.4,-2068.0
11.0,181507.8,10208.2,-1958.3
11.5,186372.1,9258.9,-1837.5
12.0,190777.1,8371.7,-1710.7
12.5,194754.5,7548.5,-1582.0
13.0,198336.3,6789.5,-1454.5
13.5,201554.5,6093.5,-1330.5
14.0,204439.9,5458.2,-1211.7
14.5,207022.3,4880.7,-1099.3
15.0,209329.7,4357.7,-994.0
