link_key,observed,true_count,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6,iter_7,iter_8,iter_9,iter_10,iter_11,iter_12,iter_13,iter_14,iter_15,iter_16,iter_17,iter_18,iter_19,iter_20
"(0, 1621, '0')",0,,1785.4,1520.0,1559.6,1576.0,1559.9,1591.4,1565.9,1559.2,1519.1,1499.8,1519.1,1123.0,1118.3,1165.1,1223.6,1221.1,1227.0,1262.7,1234.3,1239.0
"(61, 93, '0')",0,,500.5,596.9,675.5,674.8,726.0,754.0,755.9,757.7,763.1,755.4,763.1,519.4,559.3,596.4,652.1,648.6,651.9,662.0,648.4,650.5
"(61, 51, '0')",0,,1394.6,1298.2,1219.6,1220.2,1169.0,1141.1,1139.2,1137.3,1131.9,1139.7,1131.9,1375.6,1335.7,1298.6,1243.0,1246.5,1243.1,1233.0,1246.7,1244.5
"(57, 51, '0')",0,,415.7,1025.1,896.4,847.7,826.1,803.5,768.8,734.6,709.0,695.9,709.0,436.1,421.7,423.9,445.2,445.0,443.7,437.1,430.9,431.9
"(708, 9, '0')",0,,871.8,871.8,871.8,871.8,871.8,871.8,871.8,871.8,871.8,871.8,871.8,871.8,871.8,871.8,871.8,871.8,871.8,871.8,871.8,871.8
"(319, 9, '0')",0,,369.7,369.7,369.7,369.7,369.7,369.7,369.7,369.7,369.7,369.7,369.7,369.7,369.7,369.7,369.7,369.7,369.7,369.7,369.7,369.7
"(708, 738, '0')",0,,888.2,1244.5,1346.9,1434.5,1460.7,1474.4,1479.4,1445.0,1441.0,1417.3,1441.0,949.4,967.5,989.7,1032.7,1040.1,1044.3,1065.5,1040.6,1044.5
"(708, 733, '0')",0,,1078.0,1058.9,796.3,683.8,641.5,604.9,579.2,569.6,583.7,568.2,583.7,495.7,559.6,573.4,636.4,643.7,648.8,663.1,636.8,640.5
"(1556, 1731, '0')",0,,129.1,129.1,129.1,129.1,129.1,129.1,129.1,129.1,129.1,129.1,129.1,129.1,129.1,129.1,129.1,129.1,129.1,129.1,129.1,129.1
"(160, 95, '0')",0,,1666.6,2268.2,2010.6,1874.6,1740.7,1698.6,1644.1,1618.2,1579.5,1570.9,1579.5,1491.7,1567.4,1647.3,1750.3,1757.5,1766.1,1795.5,1757.9,1763.6
"(2, 43, '0')",1,2642.0,1664.3,3821.7,3401.3,3360.0,3076.5,3073.4,3147.3,3083.0,3159.9,3167.0,3159.9,1579.7,1593.0,1585.5,1574.4,1563.0,1568.6,1584.8,1573.8,1569.6
"(99, 43, '0')",1,2981.0,3957.7,447.0,653.9,764.7,771.5,804.0,830.7,844.0,885.6,850.0,885.6,3960.4,3951.0,3943.0,3908.3,3905.1,3887.1,3837.8,3900.7,3905.7
"(369, 164, '0')",1,1840.0,368.1,487.7,506.8,505.7,506.3,502.8,502.7,499.7,504.7,488.9,504.7,491.6,379.5,374.9,377.2,378.3,382.2,385.1,383.0,383.6
"(669, 164, '0')",1,2101.0,3410.6,3211.2,3203.3,3182.1,3318.6,3318.2,3302.1,3292.7,3230.2,3292.1,3230.2,2990.7,2980.6,3011.7,3050.9,3055.4,3039.0,3080.3,3054.3,3068.0
"(3, 38, '0')",1,2001.0,1283.1,1226.5,1385.7,1452.8,1497.8,1513.1,1528.4,1452.5,1449.5,1431.2,1449.5,1466.4,1349.5,1307.2,1300.0,1299.5,1261.7,1260.1,1262.9,1262.7
