theta_attr_grid,f_vals,grad_f_vals,hessian_f_vals
-15.0,9376.2,-1649.9,29.7
-14.5,9153.5,-1641.6,35.8
-14.0,8907.5,-1631.4,42.1
-13.5,8638.0,-1619.0,48.6
-13.0,8345.3,-1604.5,55.4
-12.5,8029.7,-1587.7,62.4
-12.0,7691.8,-1568.4,69.8
-11.5,7332.5,-1546.4,77.4
-11.0,6953.1,-1521.6,85.4
-10.5,6555.1,-1493.8,93.7
-10.0,6140.4,-1462.5,102.3
-9.5,5711.3,-1427.6,111.2
-9.0,5270.4,-1388.8,120.5
-8.5,4820.8,-1345.8,130.1
-8.0,4365.8,-1298.1,140.0
-7.5,3909.1,-1245.5,150.2
-7.0,3454.9,-1187.7,160.7
-6.5,3007.6,-1124.2,171.4
-6.0,2572.0,-1054.8,182.2
-5.5,2152.9,-979.2,193.1
-5.0,1755.6,-897.1,204.0
-4.5,1385.3,-808.3,214.9
-4.0,1047.6,-712.8,225.5
-3.5,747.7,-610.4,235.9
-3.0,491.2,-501.2,245.8
-2.5,283.2,-385.3,255.1
-2.0,128.8,-263.0,263.7
-1.5,32.9,-134.5,271.5
-1.0,0.0,-0.2,278.2
-0.5,34.2,139.3,283.8
0.0,139.3,283.3,288.1
0.5,318.5,431.3,291.0
1.0,574.6,582.4,292.3
1.5,909.9,735.7,292.0
2.0,1326.2,890.4,290.1
2.5,1813.0,1045.4,286.3
3.0,2366.9,1199.4,280.7
3.5,2989.6,1351.6,273.3
4.0,3678.6,1501.0,264.2
4.5,4431.2,1646.5,253.4
5.0,5244.3,1787.3,240.9
5.5,6114.8,1922.3,226.9
6.0,7039.1,2050.8,211.5
6.5,8013.8,2171.7,194.8
7.0,9034.9,2284.5,177.0
7.5,10098.7,2388.4,158.2
8.0,11201.3,2482.8,138.7
8.5,12338.6,2567.1,118.6
9.0,13506.6,2641.1,98.1
9.5,14701.5,2704.3,77.4
10.0,15919.3,2756.5,56.7
10.5,17156.0,2797.6,36.2
11.0,18407.9,2827.6,16.2
11.5,19671.4,2846.6,-3.3
12.0,20942.8,2854.9,-22.1
12.5,22218.8,2852.6,-40.0
13.0,23496.1,2840.3,-56.8
13.5,24771.7,2818.3,-72.5
14.0,26042.5,2787.3,-87.0
14.5,27305.8,2747.9,-100.2
15.0,28559.2,2700.7,-112.0
